observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/SCG,2020,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/SCG,2021,0,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/URY,2020,10414300000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/URY,2020,0.0469,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/URY,2021,7742900000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/URY,2021,0.0359,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/URY,2021,-25.65,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/UMI,2020,28000000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/UMI,2020,0.0001,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/UMI,2021,71500000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/UMI,2021,0.0003,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/UMI,2021,155.42,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/UZB,2020,12757700000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/UZB,2020,0.0575,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/UZB,2021,20719100000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/UZB,2021,0.096,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/UZB,2021,62.4,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/VUT,2020,171100000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/VUT,2020,0.0008,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/VUT,2021,166600000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
