observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2020,0.2887,Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,64969900000,Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts,INR,ExportsInUSD
country/IND,2021,0.3009,Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,1.37,GrowthRate_Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts,Percent,ExportsInUSD
country/IND,2020,141601100000,Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd,INR,ExportsInUSD
country/IND,2020,0.6379,Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,176144000000,Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd,INR,ExportsInUSD
country/IND,2021,0.8158,Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,24.39,GrowthRate_Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd,Percent,ExportsInUSD
country/IND,2020,224005100000,Exports_EconomicActivity_OresSlagAndAsh,INR,ExportsInUSD
country/IND,2020,1.0091,Exports_EconomicActivity_OresSlagAndAsh_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,388229600000,Exports_EconomicActivity_OresSlagAndAsh,INR,ExportsInUSD
country/IND,2021,1.7982,Exports_EconomicActivity_OresSlagAndAsh_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,73.31,GrowthRate_Exports_EconomicActivity_OresSlagAndAsh,Percent,ExportsInUSD
country/IND,2020,3023671700000,Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir,INR,ExportsInUSD
country/IND,2020,13.621,Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,1990731600000,Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir,INR,ExportsInUSD
country/IND,2021,9.2204,Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-34.16,GrowthRate_Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir,Percent,ExportsInUSD
country/IND,2020,125121900000,Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf,INR,ExportsInUSD
country/IND,2020,0.5636,Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,123010700000,Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf,INR,ExportsInUSD
country/IND,2021,0.5697,Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-1.69,GrowthRate_Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf,Percent,ExportsInUSD
country/IND,2020,1238667100000,Exports_EconomicActivity_OrganicChemicals,INR,ExportsInUSD
country/IND,2020,5.5799,Exports_EconomicActivity_OrganicChemicals_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,1331403700000,Exports_EconomicActivity_OrganicChemicals,INR,ExportsInUSD
country/IND,2021,6.1666,Exports_EconomicActivity_OrganicChemicals_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,7.49,GrowthRate_Exports_EconomicActivity_OrganicChemicals,Percent,ExportsInUSD
country/IND,2020,1154730300000,Exports_EconomicActivity_PharmaceuticalProducts,INR,ExportsInUSD
country/IND,2020,5.2018,Exports_EconomicActivity_PharmaceuticalProducts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,1437383900000,Exports_EconomicActivity_PharmaceuticalProducts,INR,ExportsInUSD
country/IND,2021,6.6575,Exports_EconomicActivity_PharmaceuticalProducts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,24.48,GrowthRate_Exports_EconomicActivity_PharmaceuticalProducts,Percent,ExportsInUSD
country/IND,2020,8367600000,Exports_EconomicActivity_Fertilizers,INR,ExportsInUSD
country/IND,2020,0.0377,Exports_EconomicActivity_Fertilizers_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,7790800000,Exports_EconomicActivity_Fertilizers,INR,ExportsInUSD
country/IND,2021,0.0361,Exports_EconomicActivity_Fertilizers_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-6.89,GrowthRate_Exports_EconomicActivity_Fertilizers,Percent,ExportsInUSD
country/IND,2020,244094400000,Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives,INR,ExportsInUSD
country/IND,2020,1.0996,Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,226598100000,Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives,INR,ExportsInUSD
country/IND,2021,1.0495,Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-7.17,GrowthRate_Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives,Percent,ExportsInUSD
country/IND,2020,155852300000,Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet,INR,ExportsInUSD
country/IND,2020,0.7021,Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,141999000000,Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet,INR,ExportsInUSD
